Vocabulary,PartOfSpeech,Meaning,Example,Pronounce
module,noun,"one of a set of separate parts that, when combined, form a complete whole: ","To describe the approach, a practical example related to the design of modules for woodworking machines is repor ted.",https://dictionary.cambridge.org/media/english/us_pron/m/mod/modul/module.mp3
workshop,noun,a room or building where things are made or repaired using machines and/or tools: ,"While some concessions were made to less affluent residents, commercial development and workshops were assiduously discouraged.",https://dictionary.cambridge.org/media/english/us_pron/w/wor/works/workshop.mp3
tutorial,noun,a period of study with a tutor involving one student or a small group,This survey and tutorial presents the main developments in controlling partial deduction over the past 10 years and analyses their respective merits and shortcomings.,https://dictionary.cambridge.org/media/english/us_pron/u/ust/ustur/usturk_019.mp3
sit,verb,to (cause someone to) be in a position in which the lower part of the body is resting on a seat…,How do you know that said popinjays aren't sitting on the background rather than the stripe (the ordinary)?,https://dictionary.cambridge.org/media/english/us_pron/s/sit/sit__/sit.mp3
environment,noun,"the air, water, and land in or on which people, animals, and plants live: ",The rich diversity and the production environment and methods are favorable for organic rice production.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus71/eus71591.mp3
pollution,noun,"damage caused to water, air, etc. by harmful substances or waste: ",The following two examples outline cases where the gross pollution function does not exhibit constant returns to scale.,https://dictionary.cambridge.org/media/english/us_pron/p/pol/pollu/pollution.mp3
erosion,noun,"the fact of soil, stone, etc. being gradually damaged and removed by the waves, rain, or wind…","Lastly, the amendment refers to, ""further erosions of individual freedom and choice in the name of safety"".",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus71/eus71627.mp3
habitat,noun,the natural environment in which an animal or plant usually lives: ,"However, co-occurrence patterns on burned sites were random, indicating absence of competition at fine spatial scales due to differential habitat use within the burned landscape.",https://dictionary.cambridge.org/media/english/us_pron/h/hab/habit/habitat.mp3
agriculture,noun,farming: ,Most of the agriculture practiced here is short-term rice and manioc followed by 4- 7 y of fallow.,https://dictionary.cambridge.org/media/english/us_pron/a/agr/agric/agriculture.mp3
sustainable,adjective,able to continue over a period of time: ,"The operations are set up to cut timber from 1,000 hectares of rainforest in an ecologically sustainable manner.",https://dictionary.cambridge.org/media/english/us_pron/u/uss/ussur/ussurin022.mp3
emission,noun,"the act of sending out gas, heat, light, etc.",Bioluminescence is the emission of light from living organisms,
flora and fauna,noun,The flora and fauna of a place are its plants and animals.,They note also that the main eastward-flowing rivers divide otherwise similar vegetation classes into distinct assemblages of flora and fauna.,https://dictionary.cambridge.org/media/english/us_pron/u/usa/usa32/usa32915.mp3
mammal,noun,any animal of which the female feeds her young on milk from her own body. Most mammals give…,"Studies on plants, invertebrates, lower vertebrates, mammals and humans at the molecular and cellular levels will be accepted.",https://dictionary.cambridge.org/media/english/us_pron/m/mam/mamma/mammal.mp3
reptile,noun,an animal that produces eggs and uses the heat of the sun to keep its blood warm,The medial cortex of reptiles does not appear to be involved in other tasks that are mediated by the hippocampus of mammals.,https://dictionary.cambridge.org/media/english/us_pron/r/rep/repti/reptile.mp3
species,noun,a set of animals or plants in which the members have similar characteristics to each other and…,"In rice fields, these three families or subfamilies made up 63% of species and 86% of all individuals present.",https://dictionary.cambridge.org/media/english/us_pron/s/spe/speci/species.mp3
evolve,verb,"to develop gradually, or to cause something or someone to develop gradually: ","Humans' evolved psychological architecture was designed to produce inferences that were adaptive, not normatively logical.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus71/eus71689.mp3
cell,noun,the smallest basic unit of a plant or animal,They believe that if they wired up more than 177 cells they might produce a sharper picture.,https://dictionary.cambridge.org/media/english/us_pron/c/cel/cell_/cell.mp3
soil,noun,the material on the surface of the ground in which plants grow: ,"A survey of soils for aggregate stability and glomalin, a glycoprotein produced by hyphae of arbuscular mycorrhizal fungi.",https://dictionary.cambridge.org/media/english/us_pron/s/soi/soil_/soil.mp3
approximately,adverb,close to a particular number or time although not exactly that number or time: ,"In the first 5 months of 1995, 172 plans were surveyed and approximately one-third (34%) were granted full, 3-year accreditation.",https://dictionary.cambridge.org/media/english/us_pron/a/app/appro/approximately.mp3
dramatically,adverb,suddenly or obviously: ,Combining treatment with effective prevention efforts could reduce the resource needs for treatment dramatically in the long term.,https://dictionary.cambridge.org/media/english/us_pron/d/dra/drama/dramatically.mp3
exactly,adverb,used when you are giving or asking for information that is completely correct: ,Each stem is associated with exactly one signature.,https://dictionary.cambridge.org/media/english/us_pron/e/exa/exact/exactly.mp3
specifically,adverb,"for a particular reason, purpose, etc.: ","Specifically, if the plasmid-borne arsenate reductases are similar, this would suggest a common origin for these genes, which must ultimately be chromosomal.",https://dictionary.cambridge.org/media/english/us_pron/s/spe/speci/specifically.mp3
roughly,adverb,approximately: ,,https://dictionary.cambridge.org/media/english/us_pron/r/rou/rough/roughly.mp3
abruptly,adverb,"in a sudden, unexpected, and sometimes unpleasant way: ","If the ending is ultimately and abruptly happy, the pathos lingers.",https://dictionary.cambridge.org/media/english/us_pron/a/abr/abrup/abruptly.mp3
gradually,adverb,slowly over a period of time or a distance: ,Small lanes were gradually added to demarcate different sections and also to connect them as an organic whole.,https://dictionary.cambridge.org/media/english/us_pron/g/gra/gradu/gradually.mp3
markedly,adverb,in a very obvious or noticeable way: ,,https://dictionary.cambridge.org/media/english/us_pron/m/mar/marke/markedly.mp3
significantly,adverb,in a way that is easy to see or by a large amount: ,The condition (14) is significantly weaker than (10).,https://dictionary.cambridge.org/media/english/us_pron/s/sig/signi/significantly.mp3
slightly,adverb,a little: ,Probabilities that are identical or only have slightly significant differences appear unmarked.,https://dictionary.cambridge.org/media/english/us_pron/s/sli/sligh/slightly.mp3
slowly,adverb,at a slow speed: ,"The coefficients decrease rapidly at first, but then decrease slowly.",https://dictionary.cambridge.org/media/english/us_pron/s/slo/slowl/slowly.mp3
steadily,adverb,gradually: ,"Working steadily, it took the farmer a full day to cut, bundle, and place on the ground the wheat from his fifteen-acre wheat field.",https://dictionary.cambridge.org/media/english/us_pron/s/ste/stead/steadily.mp3
rise,verb,to move upwards: ,We find that for zero or moderate surface tension the speed at which a drop or plume rises increases algebraically with time.,https://dictionary.cambridge.org/media/english/us_pron/r/ris/rise_/rise.mp3
climb,verb,"to go up, or to go towards the top of something: ","They climbed mountains, descended rivers and looked out over vast interior plains.",https://dictionary.cambridge.org/media/english/us_pron/c/cli/climb/climb.mp3
growth,noun,"The growth of a person, animal, or plant is its process of increasing in size: ",The second principal issue is the degree of economic growth's ' propoorness'.,https://dictionary.cambridge.org/media/english/us_pron/g/gro/growt/growth.mp3
increase,verb,to (make something) become larger in amount or size: ,"I think there are encouraging developments in technology that are permitting developed countries to 'do more with less', and increasing incentives to do so.",https://dictionary.cambridge.org/media/english/us_pron/i/inc/incre/increase_01_00.mp3
improve,verb,to (cause something to) get better: ,"Several works aimed at improving the ""similar words"" method by considering the context of the word.",https://dictionary.cambridge.org/media/english/us_pron/i/imp/impro/improve.mp3
jump,verb,to push yourself suddenly off the ground and into the air using your legs: ,"With the return to peacetime discourse, interest in the scientific approach jumped sharply.",https://dictionary.cambridge.org/media/english/us_pron/j/jum/jump_/jump.mp3
leap,verb,"to make a large jump or sudden movement, usually from one place to another: ",She leaps from an architectural monument to a phallocentric world.,https://dictionary.cambridge.org/media/english/us_pron/l/lea/leap_/leap.mp3
rocket,noun,"a large cylinder-shaped object that moves very fast by forcing out burning gases, used for space…",,https://dictionary.cambridge.org/media/english/us_pron/r/roc/rocke/rocket.mp3
skyrocket,verb,to rise extremely quickly or make extremely quick progress towards success: ,"In recent years, however, unemployment has decreased steadily, at present being back at the low levels of the prosperous early 1970s, and employment has skyrocketed.",https://dictionary.cambridge.org/media/english/us_pron/s/sky/skyro/skyrocket.mp3
soar,verb,to rise very quickly to a high level: ,"Merchants and landowners (including tribal chiefs) made quick for tunes, while prices soared, to the detriment of the poor.",https://dictionary.cambridge.org/media/english/us_pron/s/soa/soar_/soar.mp3
shoot up,phrasal verb,"to grow in size, or increase in number or level, very quickly: ",,https://dictionary.cambridge.org/media/english/us_pron/c/chu/chute/chute.mp3
surge,noun,a sudden and great increase: ,The case is made that radar altimeter data can be used to monitor changes in glacier topography related to climate change and surge events.,https://dictionary.cambridge.org/media/english/us_pron/s/sur/surge/surge.mp3
recover,verb,to become completely well again after an illness or injury: ,"However, among the 94 oocysts typed from 28 mosquitoes in which no heterozygous oocysts were recovered, there were 20 non-amplifying oocysts.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus73/eus73875.mp3
collapse,verb,to fall down suddenly because of pressure or having no strength or support: ,He sings a drinking song as the bridge collapses.,https://dictionary.cambridge.org/media/english/us_pron/c/col/colla/collapse.mp3
decline,verb,"to gradually become less, worse, or lower: ","Decline in soil organic carbon and total nitrogen in relation to tillage, stubble management and rotation.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75524.mp3
decrease,verb,"to become less, or to make something become less: ","Concurrent with habitat loss is the decreasing numbers of wild animals, particularly carnivores, in many countries.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus71/eus71175.mp3
deteriorate,verb,to become worse: ,"When the patient ultimately deteriorates, the clinical staff should be supported if they decide that there should be no escalation in care.",https://dictionary.cambridge.org/media/english/us_pron/d/det/deter/deteriorate.mp3
dip,verb,to put something into a liquid for a short time: ,"This dip did not, however, remove plumbers from the top echelon of wage-earners.",https://dictionary.cambridge.org/media/english/us_pron/d/dip/dip__/dip.mp3
dive,verb,"to jump into water, especially with your head and arms going in first, or to move down under the…","However, the present authors tentatively conclude that diving beetles may emigrate due to density-dependent effects when their populations reach certain but unknown threshold levels.",https://dictionary.cambridge.org/media/english/us_pron/d/div/dive_/dive.mp3
drop,verb,to fall or to allow something to fall: ,We find that for zero or moderate surface tension the speed at which a drop or plume rises increases algebraically with time.,https://dictionary.cambridge.org/media/english/us_pron/d/dro/drop_/drop.mp3
go down,phrasal verb,to move down to a lower level or place: ,,https://dictionary.cambridge.org/media/english/us_pron/g/go_/go___/go.mp3
plummet,verb,to fall very quickly and suddenly: ,"Compared to most of their urban counterparts, whose real incomes plummeted, farmers fared well.",https://dictionary.cambridge.org/media/english/us_pron/p/plu/plumm/plummet.mp3
plunge,verb,"to (cause someone or something to) move or fall suddenly and often a long way forward, down, or…",Next the theory for a denser layer plunging under a stationary layer is developed.,https://dictionary.cambridge.org/media/english/us_pron/p/plu/plung/plunge.mp3
slide,verb,to (cause to) move easily and without interruption over a surface: ,Sections (10 mm) were mounted onto slides coated with poly-l-lysine.,https://dictionary.cambridge.org/media/english/us_pron/s/sli/slide/slide.mp3
slump,verb,"(of prices, values, or sales) to fall suddenly: ","The homogenous, flat outer crater zone differs from morphological features obtained by slumping or by downfaulting of a terraced zone.",https://dictionary.cambridge.org/media/english/us_pron/s/slu/slump/slump.mp3
reduction,noun,"the act of making something, or of something becoming, smaller in size, amount, degree…",The results show the potential for considerable reductions in blood use.,https://dictionary.cambridge.org/media/english/us_pron/r/red/reduc/reduction.mp3
erratic,adjective,"moving or behaving in a way that is not regular, certain, or expected: ",Imports of raw cotton only gradually took up the slack-and then only in quite erratic fashion.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus71/eus71631.mp3
fitful,adjective,often stopping and starting and not happening in a regular or continuous way: ,"The throbbing stream echoes the pulsing rhythms of the ""tumultuous seas,"" and an ordered metrical structure governs what had at first appeared fitful rhythmic motions.",https://dictionary.cambridge.org/media/english/us_pron/f/fit/fitfu/fitful.mp3
vary,verb,"If things of the same type vary, they are different from each other, and if you vary them, you…","In addition, subtle but important changes can be induced in diatoms by varying the amount of silica in their environment or changing the water flow.",https://dictionary.cambridge.org/media/english/us_pron/v/var/vary_/vary.mp3
hobby,noun,an activity that someone does for pleasure when they are not working: ,"Motoring and car maintenance was another hobby enjoyed by twelve haemophiliacs and a few mentioned fishing, bowls and golf.",https://dictionary.cambridge.org/media/english/us_pron/h/hob/hobby/hobby.mp3
pastime,noun,an activity that is done for enjoyment: ,The same sources tell us that this game caught on pretty quickly and soon became a favourite pastime of the nobility and royalty.,https://dictionary.cambridge.org/media/english/us_pron/p/pas/pasti/pastime.mp3
collect,verb,to get and keep things of one type such as stamps or coins as a hobby: ,,https://dictionary.cambridge.org/media/english/us_pron/c/col/colle/collect.mp3
outing,noun,"a short journey made by a group of people, usually for pleasure or education: ",,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75349.mp3
date,noun,"a numbered day in a month, often given with a combination of the name of the day, the month, and…",Sampling dates within one month were pooled for ease of presentation.,https://dictionary.cambridge.org/media/english/us_pron/d/dat/date_/date.mp3
primary,adjective,more important than anything else; main: ,In the end it seems that primaries draw candidates outwards in ways that most general elections cannot entirely reverse.,https://dictionary.cambridge.org/media/english/us_pron/p/pri/prima/primary.mp3
secondary,adjective,less important than related things: ,These solutions provide qualitative insight for the process of secondary oil recovery if the polymer concentration of liquid injected into the reservoir varies with time.,https://dictionary.cambridge.org/media/english/us_pron/s/sec/secon/secondary.mp3
discipline,noun,"training that makes people more willing to obey or more able to control themselves, often in the…","If parties are disciplined, then every government coalition is a legislative coalition.",https://dictionary.cambridge.org/media/english/us_pron/d/dis/disci/discipline.mp3
major,adjective,"more important, bigger, or more serious than others of the same type: ",Major alterations to the text will be accepted only at the author's expense.,https://dictionary.cambridge.org/media/english/us_pron/m/maj/major/major.mp3
itinerary,noun,a detailed plan or route of a journey: ,The center as well as every other point in the surrounding open octagon has the itinerary of its label.,https://dictionary.cambridge.org/media/english/us_pron/i/iti/itine/itinerary.mp3
abroad,adverb,in or to a foreign country or countries: ,What makes us think that students who study abroad become fluent?,https://dictionary.cambridge.org/media/english/us_pron/a/abr/abroa/abroad.mp3
local,adjective,"from, existing in, serving, or responsible for a small area, especially of a country:  2…","There is a very real need for this, since locals have a taste for both turtle meat and eggs.",https://dictionary.cambridge.org/media/english/us_pron/l/loc/local/local.mp3
road trip,noun,a long trip or holiday taken by car: ,The plot of the film revolves primarily around a vacationing family who lose their way on a road trip.,https://dictionary.cambridge.org/media/english/us_pron/u/usa/usa30/usa30301.mp3
downtown,adjective,in or to the central part of a city: ,Go downtown to watch a movie with the other kids.,https://dictionary.cambridge.org/media/english/us_pron/d/dow/downt/downtown.mp3
rural,adjective,"in, of, or like the countryside: ",Both authors advocate an eclectic mix of quantitative survey and qualitative interviews for the study of current rural labour transformations.,https://dictionary.cambridge.org/media/english/us_pron/r/rur/rural/rural.mp3
urban,adjective,of or in a city or town: ,The richness of interpretation shown here is a model for other urban studies.,https://dictionary.cambridge.org/media/english/us_pron/u/urb/urban/urban.mp3
outskirts,noun,the areas that form the edge of a town or city,The factory is in/on the outskirts of New Delhi,
suburb,noun,an area on the edge of a large town or city where people who work in the town or city often…,Studies of suburbs and cities must combine the mutual interaction of socio-cultural formations and the built form.,https://dictionary.cambridge.org/media/english/us_pron/s/sub/subur/suburb.mp3
balmy,adjective,(of weather) pleasantly warm: ,"Everything seems so green and balmy, and the people are cheerful.",https://dictionary.cambridge.org/media/english/us_pron/b/bal/balmy/balmy.mp3
sleet,noun,"wet, partly melted falling snow: ","The late winter months will occasionally bring very small sleet/snow showers, with a significant snow storm happening rarely.",https://dictionary.cambridge.org/media/english/us_pron/s/sle/sleet/sleet.mp3
mist,noun,thin fog produced by very small drops of water collecting in the air just above an area of…,"They get mists for months at a time, blizzards, rain and wind and about nine of the twelve months weather is too bad for anyone to appreciate.",https://dictionary.cambridge.org/media/english/us_pron/m/mis/mist_/mist.mp3
tropical,adjective,from or relating to the area between the two tropics: ,Do dipterocarp seedlings really partition tropical rain forest gaps?,https://dictionary.cambridge.org/media/english/us_pron/t/tro/tropi/tropical.mp3
seasonal,adjective,relating to or happening during a particular period in the year: ,"Apparently, the abbey had suffered from the loss of seasonal pastures, a recurring but disastrous phenomenon.",https://dictionary.cambridge.org/media/english/us_pron/s/sea/seaso/seasonal.mp3
mediterranean,noun,"the sea surrounded by southern Europe, North Africa, and Western Asia",,https://dictionary.cambridge.org/media/english/us_pron/u/usm/usmea/usmeand028.mp3
cafeteria,noun,"a restaurant (often in a factory, a college, or an office building) where people collect food…","For example, culturally and linguistically appropriate signage and instructions and having food choices in the cafeteria that reflect diverse cultures provide a culturally competent environment.",https://dictionary.cambridge.org/media/english/us_pron/c/caf/cafet/cafeteria.mp3
seasoning,noun,"a substance, especially salt or pepper, that is added to food to improve its flavour: ",,https://dictionary.cambridge.org/media/english/us_pron/s/sea/seaso/seasoning.mp3
recipe,noun,"a set of instructions telling you how to prepare and cook food, including a list of what food is…","The text itself is vehement about the importance of uniform, standardised descriptors that allow the perfect replication of recipes.",https://dictionary.cambridge.org/media/english/us_pron/r/rec/recip/recipe.mp3
plot,noun,"the story of a book, film, play, etc.: ",,https://dictionary.cambridge.org/media/english/us_pron/p/plo/plot_/plot.mp3
innovation,noun,(the use of) a new idea or method: ,These actions may induce movements in nominal stock returns that cancel out or taper off those induced by innovations in real activity or inflation.,https://dictionary.cambridge.org/media/english/us_pron/i/inn/innov/innovation.mp3
revolutionize,verb,to completely change something so that it is much better: ,"It revolutionized our cosmic perspective, suggesting that life was a fundamental property of the universe.",https://dictionary.cambridge.org/media/english/us_pron/r/rev/revol/revolutionize.mp3
flat,adjective,"level and smooth, with no curved, high, or hollow parts: ","If an observer could not see the surfaces as three-dimensional, and reported them as frontoparallel flat, performance would be at 0% correct.",https://dictionary.cambridge.org/media/english/us_pron/f/fla/flat_/flat.mp3
apartment,noun,"a set of rooms for living in, especially on one floor of a building: ","Such residential buildings contained from a few to twenty or more apartments, with the average being around eight to ten dwellings each.",https://dictionary.cambridge.org/media/english/us_pron/a/apa/apart/apartment.mp3
headline,noun,"a line of words printed in large letters as the title of a story in a newspaper, or the main…","As this paper will show, different topics may have different headline conventions.",https://dictionary.cambridge.org/media/english/us_pron/u/ush/ushea/usheadg008.mp3
disaster,noun,"(an event that results in) great harm, damage, or death, or serious difficulty: ","Thus, drought, one of the greatest natural disasters intermittently confronting the nation, was blamed on political conflicts within the royal family.",https://dictionary.cambridge.org/media/english/us_pron/d/dis/disas/disaster.mp3
conflict,noun,an active disagreement between people with opposing opinions or principles: ,"The first two segments were designed to provoke disagreement, whereas the third segment permitted an assessment of carryover effects of the prior conflict.",https://dictionary.cambridge.org/media/english/us_pron/c/con/confl/conflict_01_00.mp3
bargain,noun,something on sale at a lower price than its true value: ,"Because of this strategic time-inconsistency, rational, self-interested agents are unlikely to profit from mutually advantageous bargains.",https://dictionary.cambridge.org/media/english/us_pron/b/bar/barga/bargain.mp3
haggle,verb,to attempt to decide on a price or conditions that are acceptable to the person selling the…,"Where work varied within easily identified parameters, as in weaving, tables of rates were announced by proprietors, often after haggling with shop committees.",https://dictionary.cambridge.org/media/english/us_pron/h/hag/haggl/haggle.mp3
spree,noun,"a short period of doing a particular, usually enjoyable, activity much more than is usual: ",He lies insensate on the couch after his binges; then he begins to pass out on the couch during his drinking sprees.,https://dictionary.cambridge.org/media/english/us_pron/s/spr/spree/spree.mp3
access,noun,the method or possibility of getting near to a place or person: ,The working plans included construction of forest access roads at fairly high labour cost.,https://dictionary.cambridge.org/media/english/us_pron/a/acc/acces/access.mp3
accurate,adjective,"correct, exact, and without any mistakes: ","For example, a no boundary extension rule would result in more accurate representations but in less predictive coverage.",https://dictionary.cambridge.org/media/english/us_pron/a/acc/accur/accurate.mp3
achieve,verb,"to succeed in finishing something or reaching an aim, especially after a lot of work or effort…","If there is a government policy that allows the decentralized economy to achieve the constrained planner's allocation, then it is the optimal policy choice.",https://dictionary.cambridge.org/media/english/us_pron/a/ach/achie/achieve.mp3
acquire,verb,to get or buy something: ,"Coordination problems abound, and their solutions are facilitated when players have the ability to quickly acquire expectations about fellow players' behavior.",https://dictionary.cambridge.org/media/english/us_pron/a/acq/acqui/acquire.mp3
adequate,adjective,enough or satisfactory for a particular purpose: ,"In this sense, then, control relies on planning to provide an adequate efference copy.",https://dictionary.cambridge.org/media/english/us_pron/a/ade/adequ/adequate.mp3
adjust,verb,"to change something slightly, especially to make it more correct, effective, or suitable: ",The translation of earlier research into general principles was rapidly adjusted into more particular guidelines once the show was on the air.,https://dictionary.cambridge.org/media/english/us_pron/a/adj/adjus/adjust.mp3
administration,noun,the arrangements and tasks needed to control the operation of a plan or organization: ,"It represents administration, health-care professionals, patients, and representatives of the clinical disciplines affected by each issue.",https://dictionary.cambridge.org/media/english/us_pron/a/adm/admin/administration.mp3
affect,verb,"to have an influence on someone or something, or to cause a change in someone or something:  2…",This assumption does not affect the qualitative conclusions derived in the paper.,https://dictionary.cambridge.org/media/english/us_pron/a/aff/affec/affect.mp3
alter,verb,"to change something, usually slightly, or to cause the characteristics of something to change…",Analysis of single channel records indicate that the effect is to favor transition to a substate rather than to physically alter the conductance pathway.,https://dictionary.cambridge.org/media/english/us_pron/a/alt/alter/alter.mp3
alternative,adjective,An alternative plan or method is one that you can use if you do not want to use another one:  2…,"Each region in the mixing-length profile was then interpreted physically and alternative, physically based equations identified.",https://dictionary.cambridge.org/media/english/us_pron/a/alt/alter/alternative.mp3
analyze,verb,US spelling of analyse,"In order to analyze the relative importance of the depreciation values with respect to national account figures, we compared them to timber activity value added.",https://dictionary.cambridge.org/media/english/us_pron/a/ana/analy/analyze.mp3
annual,adjective,happening once every year: ,He had also colonised the communal gardens immediately surrounding his ' patch ' and a bed of unofficial annuals were in place.,https://dictionary.cambridge.org/media/english/us_pron/a/ann/annua/annual.mp3
apparent,adjective,able to be seen or understood: ,"Why does the push for temporal reintegration occur after years, and sometimes decades, of apparent quiescence ?",https://dictionary.cambridge.org/media/english/us_pron/a/app/appar/apparent.mp3
approach,verb,"to come near or nearer to something or someone in space, time, quality, or amount: ",Constructions: a construction grammar approach to argument structure.,https://dictionary.cambridge.org/media/english/us_pron/a/app/appro/approach.mp3
area,noun,"a particular part of a place, piece of land, or country: ","Cross-cutting subject areas include children and the family, disability, gender, mental health, old age, race/ethnicity and young people.",https://dictionary.cambridge.org/media/english/us_pron/a/are/area_/area.mp3
aspect,noun,"one part of a situation, problem, subject, etc.: ",Various aspects of the interaction of relativistically intense pulses with preformed plasmas and solid targets were investigated in the experiments.,https://dictionary.cambridge.org/media/english/us_pron/a/asp/aspec/aspect.mp3
assess,verb,"to judge or decide the amount, value, quality, or importance of something: ","To assess the accuracy of these measures, two sets of experiments were planned.",https://dictionary.cambridge.org/media/english/us_pron/a/ass/asses/assess.mp3
assist,verb,to help: ,"On the assumption of four weavers (one master-weaver assisted by three assistants) per loom, the number of weavers ought to have been 12,892.",https://dictionary.cambridge.org/media/english/us_pron/a/ass/assis/assist.mp3
assume,verb,to accept something to be true without question or proof: ,This implicitly assumes that players believe they will coordinate.,https://dictionary.cambridge.org/media/english/us_pron/a/ass/assum/assume.mp3
altitude,noun,height above sea level: ,"Local relief is characterized by low altitude sedimentary plateaux (chapadas), which are broken by a network of peripheral or intermontane depressions.",https://dictionary.cambridge.org/media/english/us_pron/a/alt/altit/altitude.mp3
attribute,noun,a quality or characteristic that someone or something has: ,In this sense they corresponded with purely phonological rather than morphosyntactic attributes of the input.,https://dictionary.cambridge.org/media/english/us_pron/a/att/attri/attribute_01_00.mp3
authority,noun,the moral or legal right or ability to control: ,"Classical models and authorities were also sources for perceptions of nature, the countryside and their inhabitants.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus70/eus70382.mp3
available,adjective,able to be bought or used: ,"Finally, planning will time the movement such that a sufficient period of time is available for the control system to operate.",https://dictionary.cambridge.org/media/english/us_pron/a/ava/avail/available.mp3
aware,adjective,"knowing that something exists, or having knowledge or experience of a particular thing:  2…","Additionally, peacefully aware patients had the highest overall quality of death as reported by their caretakers in a postmortem evaluation.",https://dictionary.cambridge.org/media/english/us_pron/a/awa/aware/aware.mp3
benefit,noun,"a helpful or good effect, or something intended to help: ",Cost utility analysis permits the cost of treatment to be considered according to the amount of benefit afforded to the patients.,https://dictionary.cambridge.org/media/english/us_pron/b/ben/benef/benefit.mp3
brief,adjective,lasting only a short time or containing few words: ,"Titles should be brief, but informative, and should indicate the nature of the contents, not their import.",https://dictionary.cambridge.org/media/english/us_pron/b/bri/brief/brief.mp3
capable,adjective,"able to do things effectively and skilfully, and to achieve results: ",They have encouraged and not helped the incapables; they have discouraged and not helped the capables.,https://dictionary.cambridge.org/media/english/us_pron/c/cap/capab/capable.mp3
capacity,noun,the total amount that can be contained or produced: ,"A second important benefit of dreaming is to maintain cognitive capacities such as encoding perceptions, making decisions, and planning actions.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus70/eus70693.mp3
challenge,noun,(the situation of being faced with) something that needs great mental or physical effort in…,This ordinance is challenged by a landlord who has no plans for conversion.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75508.mp3
circumstance,noun,a fact or event that makes a situation the way it is: ,Pension funds can also require variations in contributions from employees in some circumstances.,https://dictionary.cambridge.org/media/english/us_pron/c/cir/circu/circumstance.mp3
comment,noun,something that you say or write that expresses your opinion: ,"In such cases, the reason for not including the agency comments will be stated in the report.",https://dictionary.cambridge.org/media/english/us_pron/c/com/comme/comment.mp3
commit,verb,to do something illegal or something that is considered wrong: ,"If one is committed to a religious outlook, the first option is ruled out.",https://dictionary.cambridge.org/media/english/us_pron/c/com/commi/commit.mp3
community,noun,the people living in one particular area or people who are considered as a unit because of their…,,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus70/eus70908.mp3
compensate,verb,to pay someone money in exchange for something that has been lost or damaged or for some…,The loss of power due to reduction of degrees of freedom will be partially compensated by gain of power due to increase of effect size.,https://dictionary.cambridge.org/media/english/us_pron/c/com/compe/compensate.mp3
complex,adjective,involving a lot of different but related parts: ,This exchangeable end effector permits the robot to perform more complex duties.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus70/eus70919.mp3
complex,adjective,involving a lot of different but related parts: ,This exchangeable end effector permits the robot to perform more complex duties.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus70/eus70919.mp3
component,noun,a part that combines with other parts to form something bigger: ,We can use this property to decompose the refinement of a program into the refinement of (some or all of) its components.,https://dictionary.cambridge.org/media/english/us_pron/c/com/compo/component.mp3
concentrate,verb,"to direct your attention or your efforts towards a particular activity, subject, or problem:  2…","Grief here is not diffused among many, thus attenuating the grief experienced by the individual, but is personalized and concentrated in the extreme.",https://dictionary.cambridge.org/media/english/us_pron/c/con/conce/concentrate.mp3
concept,noun,a principle or idea: ,"Students in a small group can learn from others' explanations of tasks, concepts, and larger ideas and from others' strengths as thinkers and information searchers.",https://dictionary.cambridge.org/media/english/us_pron/c/con/conce/concept.mp3
conduct,verb,to organize and perform a particular activity: ,This too was in marked contrast to the conduct of planning before the devaluation.,https://dictionary.cambridge.org/media/english/us_pron/c/con/condu/conduct_01_00.mp3
conflict,noun,an active disagreement between people with opposing opinions or principles: ,"The first two segments were designed to provoke disagreement, whereas the third segment permitted an assessment of carryover effects of the prior conflict.",https://dictionary.cambridge.org/media/english/us_pron/c/con/confl/conflict_01_00.mp3
consequence,noun,"a result of a particular action or situation, often one that is bad or not convenient: ","The points of view of individual writers are as a consequence their own, and do not reflect the opinion of the editorial board.",https://dictionary.cambridge.org/media/english/us_pron/c/con/conse/consequence.mp3
considerable,adjective,large or of noticeable importance: ,State and local governments also have considerable regulatory authority over granting siting permits necessary for the operation of many types of facilities.,https://dictionary.cambridge.org/media/english/us_pron/c/con/consi/considerable.mp3
constant,adjective,happening a lot or all the time: ,"However, this is only true for datatypes that do not contain constants.",https://dictionary.cambridge.org/media/english/us_pron/c/con/const/constant.mp3
constitute,verb,to be or be considered as something: ,"They constituted power as external to society-indeed, as what society by definition excluded even in constituting it.",https://dictionary.cambridge.org/media/english/us_pron/c/con/const/constitute.mp3
